order_number,company,contact_email,statut_erp,statut_depuis,delivery_date_erp,date_annoncee,etat_comm,date_dernier_message,nb_messages_client,date_prochain_contact,escalade_interne_le,premiere_vue_le,dernier_motif_escalade,ajustement_utilise,ticket_ref
CMD-2026-0103,Groupe Ferrand Industrie,sylvie.gauthier@ferrand-industrie.example,Expediee,2026-09-04,2026-09-09,2026-09-09,EXPEDITION_NOTIFIEE,2026-09-04,1,,,2026-08-20,,,
CMD-2026-0109,Techniprot Ile-de-France,n.robert@techniprot.example,Commande_confirmee,2026-09-01,2026-09-03,,RETARD_SANS_DATE,2026-09-03,1,2026-09-09,,2026-08-19,,,
CMD-2026-0110,Fournitures Pro Aquitaine,service.achats@fp-aquitaine.example,Commande_confirmee,2026-08-28,2026-09-04,,RETARD_SANS_DATE,2026-09-02,1,2026-09-07,,2026-08-17,,,
CMD-2026-0111,Isolations Perrin,m.perrin@isolations-perrin.example,Commande_confirmee,2026-08-27,2026-09-03,,RETARD_SANS_DATE,2026-09-02,2,2026-09-08,,2026-08-14,,,
CMD-2026-0112,Distri Nord Equipement,commandes@distri-nord.example,En_preparation,2026-09-04,2026-09-02,2026-09-09,RETARD_DATE,2026-09-04,1,,,2026-08-18,,,
CMD-2026-0113,Serrurerie Baptiste,atelier@serrurerie-baptiste.example,Expediee,2026-09-04,2026-09-03,2026-09-04,RETARD_DATE,2026-09-04,2,,,2026-08-20,,,
CMD-2026-0114,Chauffage Sainte-Barbe,direction@chauffage-sainte-barbe.example,En_preparation,2026-09-04,2026-09-01,2026-09-04,RETARD_DATE,2026-09-04,2,,,2026-08-13,,,
CMD-2026-0115,Outillage Berthier,l.berthier@outillage-berthier.example,Commande_confirmee,2026-08-25,2026-09-02,,RETARD_SANS_DATE,2026-09-01,1,2026-09-08,,2026-08-12,,,
CMD-2026-0116,Metallerie Cordier,contact@metallerie-cordier.example,Commande_confirmee,2026-08-17,2026-08-25,,RETARD_SANS_DATE,2026-09-02,2,2026-09-09,,2026-08-04,,,
CMD-2026-0117,Peintures Lavigne,achats@peintures-lavigne.example,En_preparation,2026-09-01,2026-09-09,,AUCUN,,0,,,2026-08-24,,,
CMD-2026-0118,Solutions Verlinde,adv@solutions-verlinde.example,Expediee,2026-09-02,2026-09-09,2026-09-09,EXPEDITION_NOTIFIEE,2026-09-02,1,,,2026-08-19,,,
CMD-2026-0119,Agencement Sorel,f.sorel@agencement-sorel.example,Commande_confirmee,2026-08-20,2026-09-03,,RETARD_SANS_DATE,2026-08-31,3,2026-09-07,,2026-08-06,,,
CMD-2026-0120,Plomberie Guichard,sav@plomberie-guichard.example,Expediee,2026-09-02,2026-09-04,2026-09-04,RETARD_DATE,2026-09-02,2,,,2026-08-17,,,
CMD-2026-0126,Signaletique Ouest,e.morvan@signaletique-ouest.example,Expediee,2026-09-04,2026-09-04,2026-09-04,EXPEDITION_NOTIFIEE,2026-09-04,1,,,2026-08-21,,,
CMD-2026-0127,Toiture Lefevre,devis@toiture-lefevre.example,Commande_confirmee,2026-08-31,2026-09-04,,RETARD_SANS_DATE,2026-09-07,1,2026-09-07,,2026-08-20,,,
CMD-2026-0128,Menuiserie Alu Concept,bureau@alu-concept.example,En_preparation,2026-09-03,2026-09-04,,AUCUN,,0,,,2026-08-25,,,
CMD-2026-0129,Froid Commercial Bertin,sav@froid-bertin.example,Commande_confirmee,2026-08-26,2026-09-04,,RETARD_SANS_DATE,2026-08-31,2,2026-09-07,,2026-08-11,,,
CMD-2026-0130,Habitat Duchesne,contact@habitat-duchesne.example,Expediee,2026-09-02,2026-09-03,2026-09-03,EXPEDITION_NOTIFIEE,2026-09-02,1,,,2026-08-14,,,
